seca2016-2022;Média;Máx;Mín
30/abr;512.98234;566.2283;471.46872
01/mai;509.49621;555.05206;467.4583
02/mai;503.8506867;541.23956;463.6354
03/mai;496.49004;526.59375;460.09375
04/mai;488.7361;513.21875;457.28125
05/mai;482.2189033;503.3646;455.03125
06/mai;476.9583333;495.6354;453.5625
07/mai;472.2291933;489.2396;451.78128
08/mai;468.7154133;484.1771;451.92706
09/mai;474.3576467;479.7396;465.375
10/mai;493.81172;536.8302;460.8854
11/mai;497.87069;545.3125;456.83698
12/mai;496.7526775;551.21875;453.89612
13/mai;492.5524775;550.17706;444.67368
14/mai;488.63021;546.42706;438.28125
15/mai;482.3823925;541.23956;433.625
16/mai;478.4895875;537.73956;428.3646
17/mai;476.697915;534.0625;423.54166
18/mai;476.64515;532.78125;422.29166
19/mai;476.45312;530.7083;426.33334
20/mai;477.537925;528.5833;429.4896
21/mai;480.893245;524.32294;433.3646
22/mai;484.3203;520.40625;436.28125
23/mai;491.2213625;530.9792;436.04166
24/mai;497.226565;533.6667;437.10416
25/mai;504.416665;539.1042;441.7083
26/mai;508.57584;539.70966;443.9479
27/mai;511.90586;539;442.9479
28/mai;512.19792;538.01044;442.0625
29/mai;509.674475;542.9375;442.9479
30/mai;507.6718825;544.94794;442.15625
31/mai;505.851565;544.05206;442.86456
01/jun;504.23695;541.48956;443.07288
02/jun;504.176275;539.19794;439.0104
03/jun;503.72391;538.22894;432.2396
04/jun;501.4036375;538.21875;424.17706
05/jun;499.72135;537.0625;418.1979
06/jun;497.2526225;537.53125;409.8021
07/jun;495.04395;538.28;403.88544
08/jun;480.1180633;524.76044;404.03125
09/jun;479.02083;524.3333;405.57294
10/jun;478.26043;523.53125;406.2917
11/jun;477.8178067;522.5263;406.53128
12/jun;476.1874933;522.3333;402.95834
13/jun;474.0510333;521.25;397.20834
14/jun;472.9722467;519.3542;394.4896
15/jun;483.06342;519.7708;397.1875
16/jun;480.61718;521.2083;398.41666
17/jun;478.3958475;523.2917;399.28125
18/jun;476.2773975;522.63043;400.1771
19/jun;471.1822975;521.40625;392.77084
20/jun;462.963535;517.11456;375.7604
21/jun;457.11978;511.75;365.9375
22/jun;454.552085;510;368.25
23/jun;450.526045;510;367.83334
24/jun;446.69203;508.18478;368.4479
25/jun;442.4401125;504.8542;368.97916
26/jun;435.20834;503.57294;359.4896
27/jun;425.67448;500.20834;341.89584
28/jun;418.375;493.22916;331.0104
29/jun;413.7395875;490.8646;333.09375
30/jun;409.502205;490.7396;335.0625
01/jul;406.9331667;489.05264;333.6771
02/jul;404.57292;487.1771;331.16666
03/jul;402.5104133;487;329.6979
04/jul;395.2723333;481.8587;321.3229
05/jul;385.6041667;472.09375;309.8125
06/jul;377.6492867;468.11456;298.8854
07/jul;374.68402;465.17706;303.3021
08/jul;374.6249967;463.34375;316.8229
09/jul;372.08032;458.5;317.78262
10/jul;367.7708333;455.88544;310.9479
11/jul;358.43402;449.10416;294.0729
12/jul;346.3888867;439.3021;270.22916
13/jul;344.1328967;435.4091;272.95834
14/jul;339.50348;434.45834;288.8646
15/jul;334.3229167;431.375;267.78125
16/jul;329.9930533;424.91666;260.0729
17/jul;330.3819467;421.5;273.6875
18/jul;330.0189533;413.23914;273.20834
19/jul;318.9541667;398.9375;242.45833
20/jul;315.55486;389.34375;236.52083
21/jul;318.520825;388.8229;248.21875
22/jul;323.59375;386.3854;260.8021
23/jul;317.65103;378.4479;256.85416
24/jul;293.11316;372.4271;237.78125
25/jul;276.475;358.8;191.53125
26/jul;254.9618067;339.09375;146.85417
27/jul;269.83854;327.72916;155.96875
28/jul;267.41918;319.8642;173.23958
29/jul;261.21921;308.39584;183.59375
30/jul;257.8932325;301.29166;191
31/jul;246.5520775;306.1354;159.71875
01/ago;238.3307275;308.4479;151.65625
02/ago;230.77083;309.5729;163.01042
03/ago;222.35417;303.4271;171.36458
04/ago;217.1484375;289.90625;158.90625
05/ago;212.3750025;270.8646;157.78125
06/ago;210.8908825;263.9271;166.21875
07/ago;210.6067775;269.9271;173.13542
08/ago;199.4647275;266.43182;150.13542
09/ago;191.5846925;260.45834;147.32292
10/ago;186.058305;248.44156;142.33333
11/ago;181.4395325;232.23729;150.88542
12/ago;177.8723975;218.91667;148.9375
13/ago;178.72945;213.86905;148.34042
14/ago;181.800045;217.80435;154.11458
15/ago;172.10914;214.36365;135.23958
16/ago;166.20647;208.2738;130.55208
17/ago;164.2061;200.7619;144.61458
18/ago;159.023599;197.1039;126.895836
19/ago;161.206875;188.77777;135.25807
20/ago;166.9301375;184.625;148.54347
21/ago;169.505315;187.5;146.58333
22/ago;172.8627725;192.07608;148.38542
23/ago;174.24445;197.71739;153.0625
24/ago;176.4064775;205.27174;154.375
25/ago;179.17708;211.1979;157.41667
26/ago;177.36459;215.34377;160.125
27/ago;170.02604;197.80208;152.48958
28/ago;170.75781;189.64583;157.20833
29/ago;166.59498;181.46875;158.1875
30/ago;162.02652;183.84946;152.67708
31/ago;160.2542;188.53763;144.91667
01/set;0;0;0
