pump_number;rotulo;behavior_group;demand_group;long;lat
1;URUBU - 038;CI;D1;-49.42611;-10.78303
2;URUBU - 041;NC;D1;-49.4633;-10.8149
3;URUBU - 042;NC;D1;-49.515946;-10.841826
4;URUBU - 001;NC;D1;-49.553783;-10.83458
5;URUBU - 002;NC;D1;-49.587646;-10.870381
6;URUBU - 003;NC;D1;-49.588757;-10.860949
7;URUBU - 004;NC;D1;-49.588825;-10.860864
8;URUBU - 005;NC;D1;-49.598557;-10.867343
9;URUBU - 006;CP;D1;-49.609436;-10.853473
10;URUBU - 007;CP;D1;-49.609585;-10.853259
11;URUBU - 008;CI;D1;-49.61889;-10.839177
12;URUBU - 010;CI;D1;-49.638912;-10.863696
13;URUBU - 009;CI;D1;-49.638924;-10.863574
14;URUBU - 011;CI;D1;-49.666634;-10.872875
15;URUBU - 012;CP;D1;-49.666805;-10.872936
16;URUBU - 014;NC;D1;-49.666954;-10.873199
17;URUBU - 015;CI;D2;-49.67606;-10.863947
18;URUBU - 040;CI;D2;-49.676115;-10.863916
19;URUBU - 016;NC;D2;-49.688923;-10.860516
20;URUBU - 018;CI;D2;-49.692554;-10.848582
21;URUBU - 017;NC;D2;-49.693214;-10.855825
22;URUBU - 019;CI;D2;-49.695503;-10.844513
23;URUBU - 020;NC;D2;-49.69921;-10.844733
24;URUBU - 021;CI;D2;-49.710102;-10.834447
25;URUBU - 022;NC;D2;-49.71649;-10.829914
26;URUBU - 023;CP;D2;-49.716698;-10.824729
27;URUBU - 025;NC;D2;-49.72786;-10.819728
28;URUBU - 039;NC;D2;-49.730613;-10.820501
29;URUBU - 026;NC;D2;-49.730644;-10.820335
30;URUBU - 032;CP;D2;-49.74645;-10.808519
31;URUBU - 031;CP;D2;-49.746464;-10.808526
32;URUBU - 030;NC;D2;-49.746475;-10.808552
33;URUBU - 033;NC;D2;-49.74763;-10.825519
34;URUBU - 037;CI;D2;-49.753574;-10.826344
35;URUBU - 034;NC;D2;-49.753597;-10.826273
36;URUBU - 035;NC;D3;-49.792397;-10.832636
37;URUBU - 036;NC;D3;-49.792538;-10.83259
